strike,lastPrice,bid,ask
500.0,0.01,0.0,0.0
505.0,0.02,0.0,0.0
510.0,0.01,0.0,0.0
515.0,0.02,0.0,0.0
520.0,0.02,0.0,0.0
525.0,0.03,0.0,0.0
530.0,0.02,0.0,0.0
535.0,0.02,0.0,0.0
540.0,0.02,0.0,0.0
545.0,0.02,0.0,0.0
550.0,0.01,0.0,0.0
555.0,0.04,0.0,0.0
560.0,0.02,0.0,0.0
565.0,0.01,0.0,0.0
570.0,0.01,0.0,0.0
575.0,0.01,0.0,0.0
580.0,0.01,0.0,0.0
585.0,0.01,0.0,0.0
590.0,0.01,0.0,0.0
595.0,0.01,0.0,0.0
600.0,0.01,0.0,0.0
605.0,0.02,0.0,0.0
610.0,0.02,0.0,0.0
615.0,0.02,0.0,0.0
620.0,0.02,0.0,0.0
625.0,0.02,0.0,0.0
626.0,0.02,0.0,0.0
627.0,0.02,0.0,0.0
628.0,0.02,0.0,0.0
629.0,0.02,0.0,0.0
630.0,0.03,0.0,0.0
631.0,0.03,0.0,0.0
632.0,0.02,0.0,0.0
633.0,0.03,0.0,0.0
634.0,0.03,0.0,0.0
635.0,0.03,0.0,0.0
636.0,0.03,0.0,0.0
637.0,0.03,0.0,0.0
638.0,0.03,0.0,0.0
639.0,0.04,0.0,0.0
640.0,0.04,0.0,0.0
641.0,0.05,0.0,0.0
642.0,0.04,0.0,0.0
643.0,0.04,0.0,0.0
644.0,0.04,0.0,0.0
645.0,0.06,0.0,0.0
646.0,0.08,0.0,0.0
647.0,0.08,0.0,0.0
648.0,0.07,0.0,0.0
649.0,0.08,0.0,0.0
650.0,0.08,0.0,0.0
651.0,0.1,0.0,0.0
652.0,0.12,0.0,0.0
653.0,0.13,0.0,0.0
654.0,0.15,0.0,0.0
655.0,0.17,0.0,0.0
656.0,0.18,0.0,0.0
657.0,0.21,0.0,0.0
658.0,0.25,0.0,0.0
659.0,0.3,0.0,0.0
660.0,0.35,0.0,0.0
661.0,0.41,0.0,0.0
662.0,0.49,0.0,0.0
663.0,0.59,0.0,0.0
664.0,0.72,0.0,0.0
665.0,0.88,0.0,0.0
666.0,1.07,0.0,0.0
667.0,1.31,0.0,0.0
668.0,1.59,0.0,0.0
669.0,1.95,0.0,0.0
670.0,2.4,0.0,0.0
671.0,2.83,0.0,0.0
672.0,3.47,0.0,0.0
673.0,4.21,0.0,0.0
674.0,4.9,0.0,0.0
675.0,5.73,0.0,0.0
676.0,6.76,0.0,0.0
677.0,7.92,0.0,0.0
678.0,9.3,0.0,0.0
679.0,9.32,0.0,0.0
680.0,12.0,0.0,0.0
681.0,12.52,0.0,0.0
682.0,13.18,0.0,0.0
683.0,13.97,0.0,0.0
684.0,15.27,0.0,0.0
685.0,16.4,0.0,0.0
686.0,19.85,0.0,0.0
687.0,17.48,0.0,0.0
688.0,18.85,0.0,0.0
689.0,27.68,0.0,0.0
690.0,20.7,0.0,0.0
691.0,21.85,0.0,0.0
692.0,18.97,0.0,0.0
693.0,24.99,0.0,0.0
694.0,25.97,0.0,0.0
695.0,32.79,0.0,0.0
696.0,34.81,0.0,0.0
697.0,29.03,,
699.0,43.2,0.0,0.0
700.0,30.86,0.0,0.0
701.0,48.45,0.0,0.0
702.0,39.71,0.0,0.0
703.0,32.62,0.0,0.0
705.0,36.74,,
706.0,51.65,0.0,0.0
715.0,59.15,0.0,0.0
725.0,56.4,0.0,0.0
